,word,cluster
124,Rhhyhorn,Rhyhorn
125,RaichumaMupZau,Raichu
126,Vileplume+,Vileplume
127,Cefairy,Clefairy
128,ClefairyxeYig,Clefairy
129,Lickiutng,Lickitung
130,Beeddrill,Beedrill
131,Nidokingg,Nidoking
132,",Mew",Mew
133,VAPOREON,Vaporeon
134,Nioking,Nidoking
135,Kangaskahn,Kangaskhan
136,Bublasaur,Bulbasaur
137,Pkiachu,Pikachu
138,KAkuna,Kakuna
139,Wigglyzuff,Wigglytuff
140,Clefai4ry,Clefairy
141,Jkigglypuff,Jigglypuff
142,Lickitungf,Lickitung
143,Po yta,Ponyta
144,yJnx,Jynx
145,Pinnsir,Pinsir
146,Geodudxe,Geodude
147,Venusaru,Venusaur
148,Primeappe,Primeape
149,Omanyte,Omanyte
150,Laptras,Lapras
151,Starmkie,Starmie
152,Cloysetr,Cloyster
153,Golba,Golbat
154,Hitmonchan ,Hitmonchan
155,Mankey,Mankey
156,Doeuo,Doduo
157,Vapor4eon,Vaporeon
158,Shellder,Shellder
159,Koffig,Koffing
160,A4bok,Arbok
161,Alakazam+,Alakazam
162,ugtrio,Dugtrio
163,Arbok+,Arbok
164,Gyaarados,Gyarados
165,Slowbro,Slowbro
166,CLEFAIRY,Clefairy
167,Aerodactyl+,Aerodactyl
168,Caterpie,Caterpie
169,FEAROW,Fearow
170,4lectrode,Electrode
171,Mewtwo#,Mewtwo
172,Jyn,Jynx
173,Mu,Muk
174,Sandshrew,Sandshrew
175,Victreebel#,Victreebel
176,ZubatLwB,Zubat
177,Machamp+,Machamp
178,EkanskiweIQq,Ekans
179,FlareonfNxl,Flareon
180,Pinsirr,Pinsir
181,Psycduck,Psyduck
182,Poliw5ath,Poliwrath
183,Nidorannm,Nidoranm
184,Hitmonele,Hitmonlee
185,Aerodavtyl,Aerodactyl
186,Tapdos,Zapdos
187,oPrygon,Porygon
188,Magikrp,Magikarp
189,Violtorb,Voltorb
190,VIctreebel,Victreebel
191,Mahoke,Machoke
192,Jyynx,Jynx
193,OmastaroVu,Omastar
194,SAndslash,Sandslash
195,Snorlax+,Snorlax
196,Spearow,Spearow
197,PikachuoXiJrknH,Pikachu
198,BLASTOISE,Blastoise
199,Poliwhirl,Poliwhirl
200,MeowthRWlChxce,Meowth
201,Graveler,Graveler
202,Lickkitung,Lickitung
203,Tentacolo,Tentacool
204,Horsea+,Horsea
205,MeowthJW,Meowth
206,Catsrpie,Caterpie
207,Golduck,Golduck
208,Growlithe,Growlithe
209,Nidorno,Nidorino
210,PidgeottojzcvIi,Pidgeotto
211,Mangemite,Magnemite
212,venomoth,Venomoth
213,Hitmonleee,Hitmonlee
214,Scytherd,Scyther
215,Omyastar,Omastar
216,Kabuto#,Kabuto
217,Pliwag,Poliwag
218,Rattaata,Rattata
219,M ankey,Mankey
220,Mew#,Mew
221,Vulpix#,Vulpix
222,Metpaod,Metapod
223,Jigglypuff,Jigglypuff
224,Horsea+,Horsea
225,Cateripe,Caterpie
226,DiglettTaYa,Diglett
227,Lapraqs,Lapras
228,Victtreebel,Victreebel
229,Jolteon+,Jolteon
230,Marrowak,Marowak
231,Exeggcute,Exeggcute
232,Mankey,Mankey
233,Arbok,Arbok
234,Wartrotle,Wartortle
235,Voldeen,Goldeen
236,Scyther+,Scyther
237,Pers9an,Persian
238,Duitto,Ditto
239,WWeepinbell,Weepinbell
240,yJnx,Jynx
241,Poliwihrl,Poliwhirl
242,DItto,Ditto
243,ChanseyNsRs,Chansey
244,PonytaVE,Ponyta
245,Dewgongg,Dewgong
246,Koffung,Koffing
247,Kadabr<a,Kadabra
248,Zaapdos,Zapdos
249,Ninetales+,Ninetales
250,Flaeon,Flareon
251,Scyth4r,Scyther
252,Butterfree+,Butterfree
253,Hypno+,Hypno
254,eBllsprout,Bellsprout
255,Voltobr,Voltorb
256,MagnemiteTax,Magnemite
257,Ivysaur+,Ivysaur
258,Drowzeee,Drowzee
259,Venusaur+,Venusaur
260,Nidoking+,Nidoking
261,ClefableXfMm,Clefable
262, lastoise,Blastoise
263,JOlteon,Jolteon
264,Electrde,Electrode
265,Vapkoreon,Vaporeon
266,KIngler,Kingler
267,ClefablegaOjZoE,Clefable
268,Dragonite,Dragonite
269,Cledfairy,Clefairy
270,artortle,Wartortle
271,Magneton,Magneton
272,Magnetonbw,Magneton
273,Ponytaa,Ponyta
274,iPnsir,Pinsir
275,NIDORINO,Nidorino
276,Weeßpinbell,Weepinbell
277,Onnix,Onix
278,Clyoster,Cloyster
279,Kakuna+,Kakuna
280,Poliwrath,Poliwrath
281,Pidgeto,Pidgeot
282,Sycther,Scyther
283,Tauross,Tauros
284,Jolteon,Jolteon
285,Blastoiise,Blastoise
286,Farfetchd,Farfetchd
287,Hy0no,Hypno
288,Caterpiek,Caterpie
289,Raichuu,Raichu
290,Raticate#,Raticate
291,lCoyster,Cloyster
292,Pikahcu,Pikachu
293,FearowMJiI,Fearow
294,Rattataohu,Rattata
295,Aerodactyl+,Aerodactyl
296,aMgmar,Magmar
297,Persiuan,Persian
298,Bulbaaur,Bulbasaur
299,Degong,Dewgong
300,Zapdos#,Zapdos
301,Sanndshrew,Sandshrew
302,Marowak,Marowak
303,JOLTEON,Jolteon
304,Ninetalew,Ninetales
305,rowlithe,Growlithe
306,SquirtlenTvi,Squirtle
307,Venomooth,Venomoth
308,Macoke,Machoke
309,D3ewgong,Dewgong
310,Magemite,Magnemite
311,Hypno+,Hypno
312,Clefaiy,Clefairy
313,Scygther,Scyther
314,Vicftreebel,Victreebel
315,Rat5icate,Raticate
316,Articu o,Articuno
317,WEepinbell,Weepinbell
318,Pidgey,Pidgey
319,ParasectcMAaZE,Parasect
320,Venonat,Venonat
321,Sekaing,Seaking
322,KangaskhanKq,Kangaskhan
323,Machokp,Machop
324,Art9cuno,Articuno
325,eVnonat,Venonat
326,Drozwee,Drowzee
327,MAgmar,Magmar
328,Snor.ax,Snorlax
329,Grimer+,Grimer
330,SEEL,Seel
331,ingler,Kingler
332,Bugterfree,Butterfree
333,Pinsirm,Pinsir
334,Vaoporeon,Vaporeon
335,PÖsyduck,Psyduck
336,Ponyta+,Ponyta
337,Omanyt4,Omanyte
338,Ninetales,Ninetales
339,Vewnonat,Venonat
340,GengarRJMHGP,Gengar
341,Bulbassur,Bulbasaur
342,DrowzeeKFhG,Drowzee
343,Rhydon ,Rhydon
344,Ratidate,Raticate
345,Veno oth,Venomoth
346,Bellsprout+,Bellsprout
347,Po4rygon,Porygon
348,C lefairy,Clefairy
349,Fearrow,Fearow
350,Ivyasur,Ivysaur
351,Cloyster,Cloyster
352,Ki gler,Kingler
353,Bulbawaur,Bulbasaur
354,Parascet,Parasect
355,Lickiutung,Lickitung
356,Suirtle,Squirtle
357,Nidoram,Nidoranm
358,Paras+,Paras
359,H<unter,Haunter
360,Ekany,Ekans
361,Vileplume#,Vileplume
362,DodriomHUV,Dodrio
363,MEtapod,Metapod
364,Charmandeer,Charmander
365,Pras,Paras
366,Pidgeottoy,Pidgeotto
367,Clefairyy,Clefairy
368, Mewtwo,Mewtwo
369,MMew,Mew
370,Kaadabra,Kadabra
371,Vaporeon,Vaporeon
372,Grime,Grimer
373,Slowbro+,Slowbro
374,CuboneKdOpKkc,Cubone
375,Fearow#,Fearow
376,Hyphno,Hypno
377,Kakunna,Kakuna
378,OnixTlUUlip,Onix
379,Rapidash,Rapidash
380,Hkorsea,Horsea
381,Sandshrew+,Sandshrew
382,Cubone,Cubone
383,Gastly,Gastly
384,FGengar,Gengar
385,rattata,Rattata
386,Dewgong,Dewgong
387,Electrode,Electrode
388,bra,Abra
389,WigglytuffrA,Wigglytuff
390,WigglytuffqV,Wigglytuff
391,Machop,Machop
392,Rapidassh,Rapidash
393,Vileplume,Vileplume
394,Niddorino,Nidorino
395,Farfetchhd,Farfetchd
396,rimer,Grimer
397,GoldeenwOKZ,Goldeen
398,Veenonat,Venonat
399,PARAS,Paras
400,Gyar4ados,Gyarados
401,Meatpod,Metapod
402,ersian,Persian
403,hRydon,Rhydon
404,CLOYSTER,Cloyster
405,nidorina,Nidorina
406,Rtatata,Rattata
407,Flaroen,Flareon
408,Seedle,Weedle
409,Zolem,Golem
410,Moltres+,Moltres
411,Nidorinoi,Nidorino
412,Weedle#,Weedle
413,GoldeenwOKZ,Goldeen
414,Machopve,Machop
415,GeodudeWcIJy,Geodude
416,Wigglytuff,Wigglytuff
417,Rattsata,Rattata
418,Rhyhorn,Rhyhorn
419,Exeggcutee,Exeggcute
420,Dodrrio,Dodrio
421,Spearow,Spearow
422,Jigglypuff,Jigglypuff
423,Vijctreebel,Victreebel
424,Growliithe,Growlithe
425,Wedle,Weedle
426,iVctreebel,Victreebel
427,Weedlpe,Weedle
428,Alakazma,Alakazam
429,Kabuto+,Kabuto
430,weepinbell,Weepinbell
431,Eewgong,Dewgong
432,Ho0rsea,Horsea
433,Weezing+,Weezing
434,Kadabra,Kadabra
435,charmeleon,Charmeleon
436,Pidgeotto+,Pidgeotto
437,Venomotg,Venomoth
438,Dodio,Doduo
439,Ponyta+,Ponyta
440,Mcahamp,Machamp
441,Kadabbra,Kadabra
442,NIdorino,Nidorino
443,Horesa,Horsea
444,Oddish#,Oddish
445,Starmei,Starmie
446,PikachuoXiJrknH,Pikachu
447,Rentacool,Tentacool
448,Tentaccruel,Tentacruel
449,Seadra#,Seadra
450,Parasect+,Parasect
451,ARCANINE,Arcanine
452,Charmander+,Charmander
453,Jigtglypuff,Jigglypuff
454,Clefale,Clefable
455,Bellsprout,Bellsprout
456,Sandslash#,Sandslash
457,Gyaraods,Gyarados
458,KKrabby,Krabby
459,Pidgotto,Pidgeotto
460,MewtwoeakvD,Mewtwo
461,GolbatSgRTlwyG,Golbat
462,CLoyster,Cloyster
463,Marowak#,Marowak
464,Hitmonle,Hitmonlee
465,Kinglerr,Kingler
466,Farfetchd,Farfetchd
467,Victrwebel,Victreebel
468,Vaplreon,Vaporeon
469,Exweggcute,Exeggcute
470,Metappd,Metapod
471,Muuk,Muk
472,Aerodactyl,Aerodactyl
473,Exeggut9r,Exeggutor
474,FEAROW,Fearow
475,Drago0nite,Dragonite
476,CCloyster,Cloyster
477,NJidoking,Nidoking
478,Veonmoth,Venomoth
479,rabby,Krabby
480,Oddihs,Oddish
481,PorygonHLsfcKN,Porygon
482,Catepie,Caterpie
483,Graveler#,Graveler
484,Caetrpie,Caterpie
485,Pidgeotto,Pidgeotto
486,DRatini,Dratini
487,Nidoranmn,Nidoranm
488,Scyther#,Scyther
489,Omastad,Omastar
490,Magnemite,Magnemite
491,Charmandr,Charmander
492,Horssea,Horsea
493,Dugtrio,Dugtrio
494,Mr Mme,Mr Mime
495,MewtwoTq,Mewtwo
496,Moltres+,Moltres
497,Grimer,Grimer
498,Pooiwag,Poliwag
499,Mewtwoo,Mewtwo
500,G0lduck,Golduck
501,Dtito,Ditto
502,Electtabuzz,Electabuzz
503,Jloteon,Jolteon
504,Doeuo,Doduo
505,inetales,Ninetales
506,Aerodcatyl,Aerodactyl
507,OManyte,Omanyte
508,Ivysawur,Ivysaur
509,Horsae,Horsea
510,Magikarp,Magikarp
511,Omanyte,Omanyte
512,Arok,Arbok
513,Sheldler,Shellder
514,"Marowa,",Marowak
515,HYPNO,Hypno
516,oldeen,Goldeen
517,SPEAROW,Spearow
518,Clecfairy,Clefairy
519,Hrowlithe,Growlithe
520,Fearrow,Fearow
521,IvysaurNscrq,Ivysaur
522,Vaproeon,Vaporeon
523,Marowak,Marowak
524,Voltorb,Voltorb
525,DugtriofgHGBmiD,Dugtrio
526,CLEFAIRY,Clefairy
527,Czarmeleon,Charmeleon
528,Wigglytufff,Wigglytuff
529,Ninetales#,Ninetales
530,Pikachu#,Pikachu
531,Pidgeotto+,Pidgeotto
532,VVileplume,Vileplume
533,Kwkuna,Kakuna
534,Pikachujq,Pikachu
535,Celfairy,Clefairy
536,Exeeggutor,Exeggutor
537,vulpix,Vulpix
538,Rhydon,Rhydon
539,Bidorino,Nidorino
540,Spearrow,Spearow
541,EEvee,Eevee
542,Joltteon,Jolteon
543,Machoke,Machoke
544,Squirtle#,Squirtle
545,Exebgutor,Exeggutor
546,Wartortlemb,Wartortle
547,Kabbutops,Kabutops
548,PSYDUCK,Psyduck
549,Golemm,Golem
550,Krrabby,Krabby
551,Fareon,Flareon
552,Parasct,Parasect
553,Horsea#,Horsea
554,Shelldertzayj,Shellder
555,SLowpoke,Slowpoke
556,Blastoise#,Blastoise
557,Pigdey,Pidgey
558,Jolteon#,Jolteon
559,Growlirhe,Growlithe
560,Persian+,Persian
561,Venonst,Venonat
562,Bupbasaur,Bulbasaur
563,Pidgey+,Pidgey
564,Dartini,Dratini
565,poliwag,Poliwag
566,Magikarp#,Magikarp
567,Gastyl,Gastly
568,GrowlitheKV,Growlithe
569,PsyduckBZ,Psyduck
570,Goem,Golem
571,Goldck,Golduck
572,Goldck,Golduck
573,Sqiurtle,Squirtle
574,Victgreebel,Victreebel
575,Metapdo,Metapod
576,Kabuto,Kabuto
577,Arblok,Arbok
578,Hanter,Haunter
579,Alakazam+,Alakazam
580,lapras,Lapras
581,Hitmonee,Hitmonlee
582,Jolteon+,Jolteon
583,Gravveler,Graveler
584,LickitungP,Lickitung
585,Kabuto#,Kabuto
586,Wartortlew,Wartortle
587,Mewtwo,Mewtwo
588,golem,Golem
589,Iysaur,Ivysaur
590,MR MIME,Mr Mime
591,Cuhansey,Chansey
592,Nidorannf,Nidoranf
593,Onix,Onix
594,Parasect+,Parasect
595,RAttata,Rattata
596,Nidoking,Nidoking
597,Vuhlpix,Vulpix
598,RhyhorndAouotg,Rhyhorn
599,Kangaskahn,Kangaskhan
600,Ratiacte,Raticate
601,Ninetales,Ninetales
602,Solwpoke,Slowpoke
603,Ekans,Ekans
604,MagnemitedCbNY,Magnemite
605,Dratiini,Dratini
606,PInsir,Pinsir
607,Raticate#,Raticate
608,Pinsidr,Pinsir
609,KKakuna,Kakuna
610,Graveer,Graveler
611,Vlpix,Vulpix
612,Scythe,Scyther
613,JynxkeQrWPu,Jynx
614,Mews,Mew
615,Growlithe#,Growlithe
616,Ommastar,Omastar
617,IVYSAUR,Ivysaur
618,iKngler,Kingler
619,Geodude,Geodude
620,Ninetales,Ninetales
621,Kabuto+,Kabuto
622,ynx,Jynx
623,Dnorlax,Snorlax
624,Pinsir#,Pinsir
625,Psyduck,Psyduck
626,Metapod#,Metapod
627,Chariizard,Charizard
628,Clefairy,Clefairy
629,Goleem,Golem
630,Arrbok,Arbok
631,Beesdrill,Beedrill
632,Gyarafos,Gyarados
633,Dewgoong,Dewgong
634,Cubone,Cubone
635,Me5apod,Metapod
636,Pidgeo6tto,Pidgeotto
637,ShellderDpQi,Shellder
638,Elowpoke,Slowpoke
639,Draatini,Dratini
640,Nidorina,Nidorina
641,Spearow,Spearow
642,Zubat,Zubat
643,Wartortle+,Wartortle
644,Rattataa,Rattata
645,Sel,Seel
646,Bellsprouut,Bellsprout
647,Jyjx,Jynx
648,Clefable,Clefable
649,Doduio,Doduo
650,aSndshrew,Sandshrew
651,Vaporreon,Vaporeon
652,Chyarmeleon,Charmeleon
653,Glooom,Gloom
654,Sedara,Seadra
655,oGlbat,Golbat
656,Mumk,Muk
657,Weedle#,Weedle
658,VenomothxI,Venomoth
659,Nieoranm,Nidoranm
660,Ninetales#,Ninetales
661,S6aryu,Staryu
662,zapdos,Zapdos
663,MachampBLOqjl,Machamp
664,Metapod#,Metapod
665,venonat,Venonat
666,Rachu,Raichu
667,Bastly,Gastly
668,Sandfshrew,Sandshrew
669,Primeeape,Primeape
670,RaticatelTJw,Raticate
671,STaryu,Staryu
672,Nidoknig,Nidoking
673,Paras+,Paras
674,Jynxx,Jynx
675,Caterüie,Caterpie
676,Kangaskhan,Kangaskhan
677,Arbok#,Arbok
678,GROWLITHE,Growlithe
679,idgeot,Pidgeot
680,Machokde,Machoke
681,Persan,Persian
682,5hydon,Rhydon
683,CHarmeleon,Charmeleon
684,Hitmonchan,Hitmonchan
685,aRttata,Rattata
686,HorseaGPoxCsj,Horsea
687,Beedrill,Beedrill
688,Beedrikl,Beedrill
689,Oddjsh,Oddish
690,xeggutor,Exeggutor
691,Weeipnbell,Weepinbell
692,Hypo,Hypno
693,GyaradosKyN,Gyarados
694,Ivasaur,Ivysaur
695,PIdgey,Pidgey
696,Seaking,Seaking
697,KIngler,Kingler
698,Tetacool,Tentacool
699,Alakazam+,Alakazam
700,Vilepßlume,Vileplume
701,rDowzee,Drowzee
702,Gobat,Golbat
703,LickitungjVqiltQe,Lickitung
704,Magikkarp,Magikarp
705,Kingleer,Kingler
706,Metapod,Metapod
707,Kadabra,Kadabra
708,Jigglpuff,Jigglypuff
709,Dgilett,Diglett
710,Wigglyutff,Wigglytuff
711,Growlithe+,Growlithe
712,Kadabra+,Kadabra
713,Poliwrath+,Poliwrath
714,DiglettwCwEDa,Diglett
715,Starmi3,Starmie
716,Lickitung,Lickitung
717,sandslash,Sandslash
718,SPearow,Spearow
719,Primeeape,Primeape
720,lectrode,Electrode
721,Miltres,Moltres
722,Maroowak,Marowak
723,Wigg.lytuff,Wigglytuff
724,Geodudfe,Geodude
725,Snorlax+,Snorlax
726,porygon,Porygon
727,Mankey#,Mankey
728,Rhyhon,Rhyhorn
729,Dittoo,Ditto
730,BBellsprout,Bellsprout
731,Golem+,Golem
732,Venomoth,Venomoth
733,eEvee,Eevee
734,blastoise,Blastoise
735,Vnonat,Venonat
736,Kangaskbhan,Kangaskhan
737,Machamp,Machamp
738,SPearow,Spearow
739,Oamnyte,Omanyte
740,aKbuto,Kabuto
741,Gnegar,Gengar
742,Gengar+,Gengar
743,Kakun,Kakuna
744,Starsu,Staryu
745,chansey,Chansey
746,DragoniteuXKAQ,Dragonite
747,Chansey,Chansey
748,Venusaurr,Venusaur
749,Dodrio+,Dodrio
750,Aeroadctyl,Aerodactyl
751,Primepe,Primeape
752,NidorinablD,Nidorina
753,olem,Golem
754,Nidroina,Nidorina
755,Vileploume,Vileplume
756,Voltorb+,Voltorb
757,Kadara,Kadabra
758,Jiggkypuff,Jigglypuff
759,Metapd,Metapod
760,Jnyx,Jynx
761,Kangaskhhan,Kangaskhan
762,Primeape#,Primeape
763,Piidgeotto,Pidgeotto
764,Sandshrew,Sandshrew
765,Kabutopps,Kabutops
766,pikachu,Pikachu
767,Diglett,Diglett
768,lCefable,Clefable
769,SLowpoke,Slowpoke
770,Djiglett,Diglett
771,Dodro,Dodrio
772,Slowpokeafi,Slowpoke
773,Geodue,Geodude
774,Wartortle,Wartortle
775,Exeggutor+,Exeggutor
776,Rattaga,Rattata
777,OmanyteU,Omanyte
778,Snorlaqx,Snorlax
779,Zbuat,Zubat
780,Goldeen#,Goldeen
781,VulpixUyo,Vulpix
782,CClefable,Clefable
783,BLASTOISE,Blastoise
784,Gengar#,Gengar
785,Dordio,Dodrio
786,Squirtle,Squirtle
787,Primepae,Primeape
788,Chansy,Chansey
789,Rugtrio,Dugtrio
790,Voltorb,Voltorb
791,Kngaskhan,Kangaskhan
792,Aloakazam,Alakazam
793,Dewgong#,Dewgong
794,Bulbasaur+,Bulbasaur
795,DIGLETT,Diglett
796,Horseag,Horsea
797,Chatmander,Charmander
798,Poliwrath+,Poliwrath
799,Electrode,Electrode
800,Cugbone,Cubone
801,M eowth,Meowth
802,Hizmonlee,Hitmonlee
803,Golbagt,Golbat
804,Niodking,Nidoking
805,Rachu,Raichu
806,Oddsh,Oddish
807,BUlbasaur,Bulbasaur
808,Graveper,Graveler
809,Farfetchd+,Farfetchd
810,Diitto,Ditto
811,Kabuto+,Kabuto
812,Voltorb#,Voltorb
813,Ekkans,Ekans
814,Weepinbell#,Weepinbell
815,Mew+,Mew
816,Tentacool+,Tentacool
817,Starmie+,Starmie
818,Rapjidash,Rapidash
819,Pinsirr,Pinsir
820,Eectabuzz,Electabuzz
821,Charizard,Charizard
822,Kakuna,Kakuna
823,Elecatbuzz,Electabuzz
824,Scyther,Scyther
825,EDragonite,Dragonite
826,Exeggcute+,Exeggcute
827,Pisgey,Pidgey
828,Starmiie,Starmie
829,Fenusaur,Venusaur
830,Vilepluume,Vileplume
831,Weadra,Seadra
832,Laßras,Lapras
833,Doduo+,Doduo
834,Beedrill,Beedrill
835,Doodrio,Dodrio
836,Metapod,Metapod
837,Clyster,Cloyster
838,Dodrio9,Dodrio
839,Tangela,Tangela
840,Sandslsash,Sandslash
841,Magiarp,Magikarp
842,Zubwat,Zubat
843,Farfetcfhd,Farfetchd
844,Starryu,Staryu
845,Dodrrio,Dodrio
846,GrimerhkE,Grimer
847,Jynx#,Jynx
848,Flareon+,Flareon
849,MOLTRES,Moltres
850,Kinngler,Kingler
851,Exeggutro,Exeggutor
852,Poilwhirl,Poliwhirl
853,KOFFING,Koffing
854,Persian,Persian
855,ARcanine,Arcanine
856,Slowwpoke,Slowpoke
857,Magnemitte,Magnemite
858,Krabby+,Krabby
859,Charander,Charmander
860,jolteon,Jolteon
861,Rattata+,Rattata
862,Weeepinbell,Weepinbell
863,Koffung,Koffing
864,Dratini+,Dratini
865,Kadaabra,Kadabra
866,Weezingr,Weezing
867,MankeypA,Mankey
868,Dragonite,Dragonite
869,Meeowth,Meowth
870,Kabutopsd,Kabutops
871,Mr Mimse,Mr Mime
872,Oamstar,Omastar
873,eMowth,Meowth
874,Dragtonite,Dragonite
875,Parasect,Parasect
876,Flareojn,Flareon
877,Ekand,Ekans
878,Raiczu,Raichu
879,Zuvat,Zubat
880,Haunnter,Haunter
881,Volktorb,Voltorb
882,Zapxos,Zapdos
883,HITMONCHAN,Hitmonchan
884,Blastoise,Blastoise
885,KabutodGTrhJfT,Kabuto
886,Rttata,Rattata
887,Hitmon chan,Hitmonchan
888,Vapkoreon,Vaporeon
889,Jolteo,Jolteon
890,2eepinbell,Weepinbell
891,Gravelee,Graveler
892,Ponyat,Ponyta
893,Chareleon,Charmeleon
894,Omastarr,Omastar
895,Abar,Abra
896,DodrioqhuTYgU,Dodrio
897,Xewgong,Dewgong
898,Pojyta,Ponyta
899,JynxL,Jynx
900,Praas,Paras
901,Langaskhan,Kangaskhan
902,Tangela#,Tangela
903,FFlareon,Flareon
904,Wepinbell,Weepinbell
905,MachampPCUFz,Machamp
906,RATICATE,Raticate
907,Kakuna+,Kakuna
908,Chasey,Chansey
909,Pidgeotto,Pidgeotto
910,Venonat,Venonat
911,RDoduo,Doduo
912,CharmanderaS,Charmander
913,Sandshhrew,Sandshrew
914,uBlbasaur,Bulbasaur
915,Sadra,Seadra
916,Jyynx,Jynx
917,Electzabuzz,Electabuzz
918,HypnomnZpHO,Hypno
919,POLIWAG,Poliwag
920,Exeggutor,Exeggutor
921,Gastly,Gastly
922,Kinglerr,Kingler
923,krabby,Krabby
924,Eevee,Eevee
925,CloysterlsXFcr,Cloyster
926,Clyoster,Cloyster
927,Haunte,Haunter
928,CXharmeleon,Charmeleon
929,Oinsir,Pinsir
930,Nidorinowm,Nidorino
931,Vaporeon,Vaporeon
932,Slpowbro,Slowbro
933,Spearwo,Spearow
934,DRagonair,Dragonair
935,Maygikarp,Magikarp
936,Maowak,Marowak
937,Wepinbell,Weepinbell
938,Clefaiiry,Clefairy
939,PikachuhXL,Pikachu
940,Krabby,Krabby
941,SEadra,Seadra
942,Hypno9,Hypno
943,Kabutops,Kabutops
944,ONix,Onix
945,Sandshrew#,Sandshrew
946,Rapidash+,Rapidash
947,Mew,Mew
948,DrowzeeNtxD,Drowzee
949,Gyaraods,Gyarados
950,Wartortle,Wartortle
951,Nin etales,Ninetales
952,Golem#,Golem
953,DRiglett,Diglett
954,Weepiinbell,Weepinbell
955,Tangela,Tangela
956,Kadabra,Kadabra
957,FTearow,Fearow
958,Zqpdos,Zapdos
959,Dewgonng,Dewgong
960,KadabraNPnapW,Kadabra
961,Svcyther,Scyther
962,SEEL,Seel
963,Vaporeon+,Vaporeon
964,Caterlie,Caterpie
965,Venuaur,Venusaur
966,Hauunter,Haunter
967,Omqnyte,Omanyte
968,Arcnaine,Arcanine
969,Nidoranm,Nidoranm
970,Kakuna,Kakuna
971,Krabby+,Krabby
972,Nidoking,Nidoking
973,Exegguotr,Exeggutor
974,Caterpi8e,Caterpie
